size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
3143,0.1392251816,138,16812,672,0.813847464,26,23,3,0.4054054054,1,34,75,0.0202831994,0,22,292,55,1,18,3.5,7
778,0.102484472,41,2762,160,0.7840267951,11,4,7,0.3461538462,0,4,8,0.0278637771,0,7,146,16,3,8,2,2
519,0.1236152887,30,29,9,0.7233083338,3,0,3,0.5,0,2,2,0.28125,0,4,27,8,2,0,1,2
356,0.1967741935,2,1940,50,0.9277254053,2,0,2,0.6,0,0,0,0.0064254719,0,3,12,2,2,0,2.5,2
402,0.125,28,2931,35,0.8989347932,9,0,9,0.1764705882,0,11,13,0,0,0,27,10,1,0,2,2
7,0.1428571429,2,36,8,0,2,0,2,0.5,0,1,1,0.0277777778,0,0,2,14,1,0,2,0
2156,0.1578947368,120,5398,332,0.794545087,19,15,4,0.359375,2,18,25,0.0153846154,0,5,136,40,1,10,2,11
2243,0.1300813008,48,6109,75,0.78478343,10,4,6,0.1818181818,0,4,9,0.0075757576,0,3,80,15,3,1,2,1
766,0.0161290323,23,682,76,0.8266706683,7,1,6,0.32,0,5,17,0,0,2,42,16,1,0,2,0
3193,0.0812920269,273,3048,240,0.8391289312,16,8,8,0.2413793103,0,11,26,0.0112616852,0,17,142,44,2,3,1,5
930,0.0655913978,126,1768,108,0.860435274,12,6,6,0.3823529412,0,9,22,0.0015847861,0,3,46,10,1,1,1,0
15,0.2666666667,2,4,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
148,0.1689189189,4,44,3,0,2,0,2,0.5,0,2,1,0,0,0,1,1,1,0,2,2
13,0,3,32,4,0,1,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0
279,0.1304347826,1,6284,51,0.9868079152,2,0,2,0.7857142857,0,4,8,0.0041946309,0,0,15,2,2,0,4,0
596,0.075,52,463,40,0.8581026887,4,0,4,0.4,0,3,4,0.021978022,0,2,24,4,1,2,2,0
4150,0.1030662864,127,2009,150,0.7703697448,12,7,5,0.3392857143,0,16,45,0,0,9,65,21,0,5,1.5,3
311,0.1470588235,20,38,3,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,1,1
180,0.2054794521,4,86,5,0.9602297179,2,0,2,0.6666666667,0,2,1,0,0,0,2,1,1,0,1,0
352,0.1317829457,8,84,9,0.8783471048,3,0,3,0.4,0,2,5,0.0217391304,0,0,2,1,1,0,2,3
16,0,4,8,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
424,0.1720430108,9,1320,64,0.7342604594,7,0,7,0.2857142857,0,4,6,0.0046296296,0,7,37,7,2,1,2,2
98,0.0873015873,7,22,4,1,2,0,2,0.5,0,2,0,0,0,0,2,2,1,0,1,0
955,0.073619862,42,2173,38,0.914209556,4,0,4,0.4615384615,0,3,7,0.0035731174,1.9238079757,7,24,10,2,0,3,0
525,0.1357142857,10,64,16,1,1,0,1,1,0,0,0,0.09375,0,0,12,3,3,0,1,0
1045,0.0540540541,34,575,32,0.9100118249,3,0,3,0.6666666667,0,3,10,0,0,0,15,5,0,0,1,1
679,0.08,115,317,26,0.6864621644,4,0,4,0.6923076923,0,3,4,0,0,0,19,9,1,0,1,0
196,0.0243902439,32,64,18,0.5970357553,3,0,3,0.6666666667,0,2,1,0,0,0,7,3,1,0,1,0
298,0.0625,7,477,28,0.9952325573,3,0,3,0.5454545455,0,3,6,0.0364963504,0,6,25,4,2,0,4,0
673,0.1107711138,64,322,38,0.8636393642,5,0,5,0.4166666667,0,5,11,0.0119047619,0,0,10,6,1,0,2,1
291,0.0758196721,3,58,4,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
400,0.0813333333,38,58,4,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,1
26,0.0384615385,2,28,2,0,1,0,1,1,0,1,1,0,0,0,0,2,0,0,1,0
135,0.1481481481,3,95,23,0,4,0,4,0.4285714286,0,3,6,0.0315789474,0,1,5,3,2,0,9,1
232,0.1379310345,2,50,4,0,1,0,1,1,0,1,1,0.02,0,0,3,2,2,0,2,0
162,0.1481481481,1,15,3,0,1,0,1,1,0,0,0,0.1333333333,17.7611111111,0,3,1,1,0,1,0
783,0.1,46,3328,85,0.9612822516,3,1,2,0.68,0,4,9,0.0044117647,0.7835784314,1,64,10,1,0,5,4
374,0.1980519481,12,38,6,0.9182958341,3,0,3,0.5,0,2,4,0.056547619,0,0,2,1,1,0,2,0
261,0.1510791367,7,1096,44,0.9981459752,2,0,2,0.75,0,1,1,0.0127388535,0,0,12,2,2,0,1,0
382,0.1948051948,5,57,12,1,3,0,3,0.6666666667,0,2,3,0.1,0,0,9,3,2,0,2,1
269,0.1557390724,13,3671,82,0.9424862659,2,0,2,0.875,0,2,8,0.0120664189,0,6,40,6,2,0,2,1
454,0.1686746988,28,558,24,0.794786564,3,0,3,0.4285714286,0,2,3,0.0128205128,0,4,15,4,1,0,1,1
257,0.0915178571,54,4352,31,0.9383153522,2,0,2,0.5,0,1,4,0.0043464214,0,0,0,0,0,0,2,3
13,0.0769230769,2,12,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
95,0.0897435897,10,72,8,0.8112781245,2,0,2,0.5,0,2,3,0.0096153846,0,0,3,2,1,0,2,0
203,0.1414141414,10,105,10,0.9602297179,2,0,2,0.6,0,1,5,0.0222222222,0,1,3,1,1,0,2,1
3842,0.1052631579,265,2521,227,0.8323430895,13,7,6,0.3866666667,0,8,43,0,0,11,82,13,0,4,1,3
32,0.03125,1,8,3,0,1,0,1,1,0,0,0,0.25,33.3020833333,0,3,1,1,0,1,0
937,0.037037037,19,200,21,0.9910705164,2,0,2,0.8333333333,0,3,12,0,0,1,6,1,0,0,1,1
1056,0.1069670664,99,267,19,0.8040703389,5,0,5,0.5555555556,0,4,8,0,0,0,3,2,0,0,1,1
75,0.24,2,22,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
1483,0.1319736473,82,1067,109,0.856200502,12,9,3,0.4,0,7,27,0,0,1,68,14,1,0,1,4
1559,0.0712748146,61,1344,171,0.8603325275,11,5,6,0.3243243243,0,10,19,0.0028275146,0,2,79,10,2,2,2,1
324,0.1276595745,3,3473,23,0.9982526817,3,0,3,0.8181818182,0,4,5,0.0010152284,0,3,9,1,1,0,4,1
6681,0.0912863071,304,3362,208,0.827229455,20,17,3,0.4489795918,0,17,77,0,0,10,110,23,0,2,1,3
2824,0.0865475071,52,88,7,0.9629610648,2,0,2,0.7142857143,0,2,7,0,0,0,0,0,0,0,1,0
522,0.088,22,25,6,0.9697238999,2,0,2,0.6666666667,0,2,6,0,0,0,24,4,0,0,1,1
2297,0.0531177829,50,10196,193,0.7033264487,12,8,4,0.3673469388,0,9,31,0.0003516999,0,9,102,11,1,0,2,3
1596,0.1111111111,73,14157,249,0.9523901516,6,3,3,0.6444444444,0,4,16,0.0105162524,0,21,157,7,2,1,3,5
31,0,4,12,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
2428,0.063018598,105,1897,39,0.7436208625,3,0,3,0.5714285714,0,3,15,0,0,1,45,8,0,0,1,1
514,0.1962365591,22,717,56,0.9372023881,6,2,4,0.48,0,5,14,0.0109519299,0,3,26,5,1,0,4,0
