size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
364,0.1578947368,10,54,15,0.5900157194,2,0,2,0.8333333333,0,2,5,0,0,0,2,2,0,0,1,0
3243,0.1869918699,75,1124,93,0.9268320546,6,0,6,0.2105263158,0,5,11,0.0142857143,0,0,23,7,2,1,2,1
11356,0.1081425838,326,22245,713,0.8945357467,26,19,7,0.1731843575,2,26,92,0.0149074074,0,71,477,40,1,2,1,12
4993,0.0988142292,76,3646,236,0.9258643936,15,13,2,0.6836734694,1,19,70,0.0090909091,0,24,113,16,1,5,5,1
86,0,0,390,6,1,1,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0
489,0.0741758242,8,2513,61,0.8244765879,3,0,3,0.3333333333,0,2,6,0.0010830325,0,0,4,3,0,0,1,0
238,0.0454545455,4,2511,67,0.9562520558,3,0,3,0.5,0,1,1,0.0056179775,0,3,14,5,2,0,1,2
477,0.0975935829,24,828,92,0.8569523229,6,0,6,0.3529411765,0,1,9,0.0289583333,0,3,48,11,2,3,2,0
33,0.303030303,0,270,5,0,1,0,1,1,0,0,0,0.0037037037,0,0,2,2,2,0,1,0
3087,0.0495098039,11,2065,47,0.9053066733,5,0,5,0.55,0,3,15,0.000498008,0,7,59,10,1,0,1,1
297,0.0673400673,0,8,1,0,1,0,1,1,0,1,1,0,0,0,4,2,2,0,1,0
526,0.0586206897,4,28,5,0.8649735207,2,0,2,0.6666666667,0,2,3,0,0,0,8,5,0,0,1,0
1271,0.1307420495,6,25270,142,0.8799962187,3,0,3,0.5,0,4,17,0.0035211268,0,13,58,6,1,0,17,0
3651,0.0887521968,45,955,96,0.7930550562,9,4,5,0.3125,0,7,24,0.0099009901,0,0,66,21,1,8,3,1
1375,0.125748503,16,176,19,0.9297233921,3,0,3,0.5,0,4,5,0,0,0,13,6,1,0,1,0
23,0,1,8,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
1565,0.1060645497,15,4132,77,0.8970805463,3,0,3,0.45,0,5,5,0.005594107,0.1663156243,27,88,4,2,0,2,0
387,0.0478250124,26,74,3,0.9182958341,2,0,2,0.6666666667,0,3,3,0,0,0,0,0,0,0,1,2
16786,0.1006741776,398,12895,433,0.9141688789,15,8,7,0.2056074766,0,10,44,0.0025113289,0,31,255,33,2,15,1,5
844,0.1,6,4834,74,0.9560330302,3,0,3,0.7647058824,0,1,4,0.0159574468,0,9,81,6,2,0,1,0
60,0,2,353,6,0.6500224216,2,0,2,0.6666666667,0,1,2,0.0074183976,0,2,5,4,2,0,1.5,0
2992,0.1396451142,17,4026,184,0.8526408909,6,4,2,0.6666666667,1,8,21,0.0085569922,1.9080530012,10,131,6,3,0,1,0
1387,0.0431611669,8,30538,497,0.9570483811,8,4,4,0.3709677419,1,6,22,0.0020989011,0.6138525489,34,380,10,2,5,3,7
57,0.0175438596,4,87,9,0,1,0,1,1,0,0,0,0.0574712644,50.3191570881,0,8,9,5,0,1,0
1028,0.1349611623,49,1479,88,0.7305547346,7,1,6,0.3666666667,0,7,14,0.0085829424,0,11,73,18,2,3,1,0
325,0.1383458647,17,589,75,0.9277072688,4,0,4,0.4166666667,0,3,3,0.0280612245,0,0,43,10,3,2,3.5,0
302,0.0858895706,32,380,35,0.8142225797,4,0,4,0.6153846154,0,4,11,0.0127863349,0,11,29,6,2,0,3.5,0
139,0,15,1206,36,0.5542481581,3,0,3,0.5,0,1,3,0.003421728,0,7,29,11,2,0,1,0
1175,0.1201550388,31,7385,169,0.8735039798,5,2,3,0.5,1,6,11,0.0072463768,0.5103424179,43,136,7,2,5,4,0
62,0.1333333333,1,175,12,0.9808340378,1,0,1,1,0,2,5,0.0416666667,0,0,3,3,1,0,2,0
332,0.2018072289,2,7,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
141,0.1235955056,2,759,17,0.9262621551,3,0,3,0.4,0,3,4,0.0064655172,0,0,5,2,1,0,1,0
110,0.1,1,499,32,0.9583079609,8,0,8,0.1538461538,0,5,9,0.0159574468,0,4,13,3,1,2,4,1
508,0.1401913876,4,2764,91,0.8669481299,7,0,7,0.3,0,4,18,0.0254381259,0,13,59,8,2,1,4,0
37,0.2941176471,2,523,31,0.9853844459,1,0,1,1,0,1,0,0.0080645161,0,2,5,1,1,0,2,0
401,0.0984848485,13,1181,49,0.7362337106,6,0,6,0.3529411765,1,4,12,0.0053454983,0.021312336,0,28,7,2,0,2,0
3,0,1,50,6,0,1,0,1,1,0,0,0,0.02,0,0,3,3,3,0,1,0
1594,0.0687804878,14,12770,289,0.9523833081,10,5,5,0.4193548387,0,9,24,0.0029354657,0,14,140,16,2,3,3,1
281,0.0714285714,2,1199,51,0.9442141897,4,0,4,0.4210526316,0,3,19,0,0,0,44,6,0,4,14.5,0
10,0,3,316,55,0.9940302115,7,0,7,0.3076923077,0,4,11,0.0081075534,0,0,9,22,1,4,14.5,0
