size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
2898,0.1989247312,99,3495,251,0.8727074022,17,11,6,0.231884058,0,9,43,0.0113960114,0,32,518,49,1,5,2,11
626,0.1277411565,36,210,45,0.6488004917,6,0,6,0.25,0,1,4,0.030078637,0,9,48,11,2,2,1,2
605,0.2375397925,31,186,32,0.7599871044,4,0,4,0.5,0,7,10,0.0606060606,0,0,17,5,1,0,3.5,0
226,1.3194892473,15,90,22,0.9456603046,3,0,3,0.6,0,3,3,0.1123310811,0,0,9,9,2,0,2.5,0
3108,0.1616161616,128,1526,92,0.7995238051,14,6,8,0.1935483871,0,9,21,0.0046783626,0,6,163,40,1,4,1,8
2276,0.1693548387,43,463,74,0.9096245404,7,1,6,0.3181818182,0,9,13,0.0172413793,0,5,47,9,2,1,3,4
45,0.0444444444,0,488,8,0,1,0,1,1,0,1,2,0.018442623,0,0,8,2,2,0,2,0
922,0.0754716981,25,5565,89,0.9662116758,4,1,3,0.7142857143,0,2,9,0.0042735043,0,6,70,19,1,0,1,2
1630,0.0782608696,210,625,42,0.6396111952,4,0,4,0.6428571429,0,2,9,0.0333333333,0,12,92,34,1,0,1,2
427,0,95,338,46,0.8071577,4,0,4,0.375,0,1,2,0.00625,0,1,17,7,1,2,4,0
42,0.1111111111,2,210,25,0.9899449185,2,0,2,0.8571428571,0,2,5,0.0344827586,0,1,15,3,2,0,2,0
390,0.1282051282,45,74,13,0.3912435636,2,0,2,0.5,0,1,2,0.0277777778,0,0,9,4,1,0,1,1
2372,0.1018783329,97,1526,62,0.9770402186,12,6,6,0.1818181818,0,8,19,0.039629439,0,8,85,11,1,0,2,5
125,0.064,10,69,3,0,1,0,1,1,0,1,1,0,0,0,1,3,0,0,1,0
34,0.0588235294,3,2,2,0,1,0,1,1,0,1,1,0,0,1,5,5,2,0,1,0
411,0.2700729927,10,70,14,0,1,0,1,1,0,0,0,0.1142857143,0,0,6,3,2,0,1,0
20,0.3,2,45,3,0,1,0,1,1,0,0,0,0.1111111111,0,0,3,4,2,0,1,0
600,0.1816666667,29,21,7,0,2,0,2,0.5,0,1,2,0.1428571429,0,0,11,7,2,0,2,0
