size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
3656,0.0488095238,152,16262,641,0.8073622204,29,22,7,0.1640625,1,23,69,0.0026087389,0,22,353,46,1,11,1.5,7
614,0,42,1114,66,0.5296204782,7,0,7,0.2941176471,0,2,6,0.0181818182,0,4,83,9,2,5,1,1
600,0.0204081633,32,229,21,0.8763015072,5,0,5,0.4,0,3,5,0,0,2,47,10,2,0,2,0
360,0.1947368421,3,1516,49,0.9554481027,3,0,3,0.5384615385,0,1,2,0.0042859205,0,1,12,1,1,0,3,2
158,0.2950819672,27,784,27,0.5269676442,6,0,6,0.2222222222,0,6,7,0,0,2,18,11,0,0,1,1
38,0.1666666667,2,182,6,1,1,0,1,1,0,1,3,0,0,0,0,1,0,0,1,0
17,0,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
21,0.1428571429,12,868,45,0.7890153305,4,0,4,0.5714285714,0,1,3,0.0097402597,0,0,6,16,1,2,2,0
3209,0.0747663551,138,11260,495,0.8172582999,26,21,5,0.1847826087,2,20,53,0.0046868343,0,23,210,40,1,5,2,5
415,0.0301724138,2,66,8,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,1,1
589,0,38,2457,86,0.7834082312,6,0,6,0.3529411765,0,3,8,0.0050125313,0,9,91,10,2,0,1,1
336,0.2288135593,8,16,5,0.9602297179,2,0,2,0.6666666667,0,2,3,0,0,0,0,9,0,0,1,0
2315,0.1027654235,262,1236,114,0.8350933811,17,12,5,0.2666666667,0,16,27,0.0456259427,0,7,94,37,1,0,1.5,5
393,0,107,150,20,0.8994147477,4,0,4,0.3333333333,0,2,6,0.2142857143,0,3,15,6,2,0,1,0
349,0.1398036305,7,164,11,0.9940302115,4,0,4,0.3333333333,0,3,3,0.0153127918,0,0,5,3,2,0,3,0
786,0.0920716113,7,9813,107,0.9996839116,1,0,1,1,0,1,2,0.0002457606,0,5,33,2,2,0,5,0
202,0.1831683168,38,2,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
3992,0.0978515625,126,1632,86,0.8639268031,8,4,4,0.3783783784,0,11,21,0.0014450867,0,4,34,12,1,0,1,3
178,0.1114718615,16,153,6,1,1,0,1,1,0,0,0,0.0193181818,0,0,4,2,2,0,1,1
176,0.23125,4,42,3,0.9182958341,2,0,2,0.5,0,2,1,0,0,0,1,1,0,0,1,0
421,0.0927750411,12,637,22,0.7808838556,2,0,2,0.7777777778,0,2,4,0.0071097067,0,2,10,2,1,0,2,0
348,0.1739010989,11,703,49,0.839649226,4,0,4,0.6875,0,2,6,0.0125167936,0,7,26,6,2,0,2.5,0
1093,0.0870646766,45,774,24,0.8295110895,4,0,4,0.3636363636,0,4,6,0,0,5,15,7,1,0,2,0
525,0.1357142857,10,64,16,1,1,0,1,1,0,0,0,0.09375,0,0,12,3,3,0,1,6
790,0.0483870968,39,50,7,0.914100892,5,0,5,0.2,0,4,4,0,0,0,5,3,1,0,1,0
443,0.3034532973,106,32,17,0.9774178175,5,0,5,0.2,0,1,3,0.2068181818,0,0,10,6,2,0,2.5,1
298,0.0625,7,443,24,1,2,0,2,0.6666666667,0,2,6,0.04,0,6,21,2,2,0,3,0
415,0.1183353683,31,102,4,1,1,0,1,1,0,1,2,0,0,0,0,5,0,0,1,0
255,0.0721153846,3,204,2,1,1,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0
372,0.1639784946,39,70,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
595,0.1007022472,20,200,18,0.9166751948,4,0,4,0.5714285714,0,2,1,0,0,0,10,3,1,0,1,0
230,0.0588235294,7,193,30,0.6482904674,6,0,6,0.2307692308,0,5,10,0,0,1,4,2,1,0,1,0
268,0.0689655172,2,78,4,1,1,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0
62,0.1612903226,2,4,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
22,0,5,50,7,0,2,0,2,0.5,0,1,0,0.02,0,0,5,3,2,0,2,0
288,0.1732804233,1,53,7,0.8631205686,2,0,2,0.6666666667,0,1,0,0.0434782609,5.7916666667,0,5,2,1,0,1.5,0
821,0.1,50,3648,107,0.9613126812,5,2,3,0.5483870968,0,4,11,0.0044117647,0.9315268065,4,80,8,1,0,6,1
618,0.1233818258,15,542,13,0.7732967821,3,0,3,0.6,0,2,1,0,0,1,6,3,1,0,1,0
268,0.1489361702,7,1096,44,0.9981459752,2,0,2,0.75,0,1,0,0.0127388535,0,0,16,3,2,0,1,0
275,0.0375,6,182,15,0.8024677974,4,0,4,0.5714285714,0,2,1,0,0,0,9,4,1,0,1,0
