size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
271,66,0,46,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
4493,122,0,576,13,0.6190842265,2,0,2,0,0,1,13,0,0,0,0,0,0,0,0,0
2812,222,0,32,2,0.2,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
3127,406,11,255,9,0.9182958341,6,0,6,0.3333333333,4,1,0,1,8.5,4,26,6,0,0,7,4
129,10,2,59,2,0,3,0,3,0.5,2,1,0,1,15,1,3,3,0,0,1,0
2345,109,0,11,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
145,4,0,24,2,0.3333333333,2,0,2,0,0,1,2,0,0,0,0,0,0,0,4,0
2686,486,0,395,25,0.9668621171,1,0,1,1,0,1,25,0,0,0,0,0,0,0,0,0
49,10,0,175,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
9538,2201,0,153,12,0.5819140424,1,0,1,1,0,1,12,0,0,0,0,0,0,0,0,0
2359,170,0,202,6,0,3,0,3,0.5,3,1,3,1,4,0,0,0,0,0,4,0
330,30,0,5,3,0,2,0,2,0.6666666667,2,0,1,1,277,0,0,0,0,0,2,0
442,94,0,702,2,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
72,8,0,462,12,1,2,0,2,0.5,4,0,0,1,1,5,78,7,0,0,11,0
851,39,0,12,3,0,2,0,2,0.6666666667,2,1,1,1,116,0,0,0,0,0,2,0
1182,99,0,18,4,0,2,0,2,0.75,2,1,1,1,77,0,0,0,0,0,2,0
37,3,0,2,1,0,1,0,1,1,1,0,0,3,18,0,0,0,0,0,0,0
836,164,1,1011,1,0,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0
530,23,0,4,2,0.2789429457,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
37,4,0,86,3,0.428317341,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0
1487,71,0,58,6,0.6085232134,2,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0
281,22,0,10,2,0.5,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
911,49,1,2469,79,0.9530245345,4,1,3,0.5063291139,6,1,0,1,1,0,0,0,0,0,10,0
0,0,0,1712,59,0.850504999,1,0,1,1,0,1,59,0,0,2,23,1,0,0,0,0
335,20,1,718,25,0.9630759996,6,3,3,0.56,2,1,0,1,1,8,121,10,0,0,7,1
83,10,1,226,6,0,3,0,3,0.6666666667,5,0,0,1,1,7,39,8,0,0,13,0
4,1,0,114,6,0,2,0,2,0.6666666667,4,0,0,1,7,6,30,7,0,0,9,0
42,3,1,52,2,0,3,0,3,0.5,1,1,0,1,1,1,2,2,0,0,2,0
119,6,12,709,12,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
40,8,1,112,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
239,26,0,328,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
25,0,0,452,12,1,2,0,2,0.6666666667,4,0,0,1,1,0,0,0,0,0,9,0
3035,272,0,3,1,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
2148,455,0,2,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
168,3,1,226,6,0,2,0,2,0.6666666667,4,0,0,1,1,0,0,0,0,0,0,0
53,4,1,50,1,0,1,0,1,1,1,0,0,1,1,2,13,4,0,0,0,0
759,7,0,947,26,0.9160483784,6,2,4,0.6923076923,2,0,0,1,0,0,0,0,0,0,0,0
424,26,1,488,8,0,4,0,4,0.5,5,1,1,1,1,8,39,8,0,0,7,0
192,13,1,54,2,0,2,0,2,0.5,1,1,0,0.5,1,1,3,3,0,0,0,3
179,10,0,122,4,0.5,3,0,3,0.5,0,2,0,0.5,0,0,0,0,0,0,0,0
0,0,0,16,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,31,4,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0
