size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
3589,0.1403940887,161,14541,607,0.8576492305,30,24,6,0.1570247934,1,18,59,0.0161557581,0,35,323,36,1,24,2,6
832,0.1642473118,46,80,9,0.8763576395,4,0,4,0.3333333333,0,3,6,0,0,0,2,1,0,0,1.5,1
525,0.1871345029,20,315,37,0.7708962288,4,0,4,0.25,0,2,6,0.0076045627,0,1,8,4,1,0,2,0
359,0.2001567552,5,880,101,0.962945906,3,0,3,0.5833333333,0,2,5,0.0665193947,32.7053690738,4,57,5,2,0,3.5,0
140,0.25,14,154,38,0.9237104536,5,0,5,0.25,0,3,4,0.05,0,1,18,7,2,0,2,0
28,0.2857142857,2,22,3,0,1,0,1,1,0,1,1,0.0454545455,0,0,0,0,0,0,2,0
17,0.1538461538,11,961,58,0.8246578333,2,0,2,0.8333333333,1,2,4,0.0083117108,1.4089042409,17,26,16,2,0,3,0
3431,0.1291666667,152,2498,247,0.8244146406,19,14,5,0.2258064516,0,19,37,0.006446952,0,6,128,28,2,6,2,4
503,0.0658914729,4,1156,56,0.9970768559,1,0,1,1,0,0,6,0.0722222222,0,8,42,1,1,0,1,0
313,0.1428571429,27,204,34,0.8564448877,8,0,8,0.3076923077,1,4,4,0,0,2,26,13,1,0,1,0
806,0.1932555781,28,3104,72,0.7941858963,3,0,3,0.5,0,1,4,0.0046442401,0,0,4,7,0,0,1,0
2354,0.0997181113,247,2167,141,0.7949873443,13,5,8,0.3243243243,0,13,17,0.0063797085,0,3,52,30,1,0,1.5,1
718,0.109375,112,294,18,0.9708357627,4,0,4,0.375,0,1,2,1,0,1,17,7,1,0,1,0
349,0.1398036305,7,66,6,1,1,0,1,1,0,0,0,0.0303030303,0,0,4,2,2,0,1,1
979,0.0878859857,9,4478,106,0.9717387437,7,1,6,0.3333333333,0,7,9,0.0096774194,21.5860655738,12,86,12,2,5,4,1
465,0.075,49,25,5,0.8649735207,2,0,2,0.6666666667,0,1,2,0.0714285714,0,0,3,2,1,0,1,0
4864,0.1,145,7584,238,0.9194255588,12,7,5,0.4939759036,1,20,33,0.0061486133,0.1172427065,12,103,15,1,1,2,3
178,0.1114718615,17,161,10,0.8812908992,2,0,2,0.6666666667,0,1,1,0.0163617886,0,0,4,2,2,0,1.5,0
380,0.0476190476,12,611,16,0.9850568223,2,0,2,0.8333333333,0,2,2,0.0094339623,0,3,8,3,2,0,2,0
670,0.1894736842,12,812,100,0.9229340433,4,2,2,0.8260869565,1,4,15,0.0422619048,0,0,40,5,1,0,1,2
47,0.170212766,4,9,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
978,0.07467723,42,719,29,0.9987413016,2,0,2,0.8,0,1,5,0.0098896329,0,0,4,1,1,0,1,1
1101,0.1212121212,25,6855,214,0.8626228866,5,3,2,0.6956521739,0,5,9,0.0024630542,0,23,136,12,2,3,5,0
294,0.0612244898,4,4375,57,0.9243346999,3,0,3,0.5833333333,0,4,2,0.0103986448,0,7,42,3,2,0,3,0
926,0.1882352941,43,127,17,0.9812327163,6,0,6,0.2857142857,0,3,3,0.064516129,0,1,10,6,2,0,1,0
348,0.2926829268,65,148,41,0.7702592826,3,0,3,0.5,1,0,0,0.2727272727,0,1,27,6,2,0,1,0
