size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
459,51,4,71,3,0,3,0,3,0.3333333333,0,2,0,1,22,0,0,0,0,0,1,0
213,19,2,6,3,0,3,0,3,0.3333333333,1,1,0,1,1,3,9,4,0,0,2,1
501,39,3,16,8,1,2,0,2,0.75,0,2,0,1,0,3,9,4,0,0,0,0
491,50,2,12,6,1,1,0,1,1,0,0,0,1,0,2,8,2,0,0,2,1
1121,65,1,84,31,0.799478112,5,1,4,0.4516129032,3,1,0,1,0,1,2,2,0,0,0,0
136,10,0,8,4,1,1,0,1,1,0,0,0,1,0,2,4,2,0,0,2,0
2620,170,6,32,16,1,1,0,1,1,0,0,0,1,0,2,28,2,0,0,2,0
70,13,0,208,2,1,1,0,1,1,0,1,0,0,0,1,4,2,0,0,0,0
702,47,11,900,27,0.9669273805,4,0,4,0.5925925926,1,0,0,1,1,6,51,9,0,0,0,0
89,12,1,421,11,0.9713067383,5,0,5,0.2727272727,2,3,3,1,1,10,63,9,0,0,2,0
393,33,1,2,1,0,1,0,1,1,0,1,0,0,0,1,3,3,0,0,0,0
130,11,0,4,2,1,2,0,2,0.5,0,2,0,0,0,1,3,2,0,0,0,0
745,22,3,4,2,0,1,0,1,1,0,0,0,1,0,1,2,2,0,0,2,1
788,25,0,4,2,0,1,0,1,1,0,0,0,1,0,1,2,2,0,0,2,0
4763,154,0,366,140,0.9941397911,2,1,1,0.9714285714,0,2,0,1,0,5,286,5,0,0,4,0
499,52,1,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
125,11,2,12,6,1,1,0,1,1,0,0,0,1,0,2,4,2,0,0,2,0
915,73,6,16,8,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
311,7,0,24,12,1,2,0,2,1,0,0,0,1,0,3,53,6,0,0,0,0
361,14,2,25,13,0.9807239409,3,0,3,0.8461538462,0,1,0,1,0,7,72,10,0,0,0,0
7,1,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,3,0,0,2,0
5,1,0,56,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1142,132,2,44,7,0.9629610648,3,0,3,0.8571428571,3,0,0,1,0,3,26,7,0,0,0,0
1202,144,1,24,11,0.9905114617,1,0,1,1,1,0,0,1,0,3,32,6,0,0,2,0
11,0,0,8,3,0,1,0,1,1,1,1,0,1,4,0,0,0,0,0,4,0
1,2,0,42,1,0,2,0,2,1,2,0,0,1,1,1,10,4,0,0,2,1
9,1,0,4,2,0,1,0,1,1,1,0,0,1,8,2,4,2,0,0,2,0
9,1,0,4,2,0,1,0,1,1,1,0,0,1,8,2,4,2,0,0,2,0
95,16,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
81,9,0,6,3,1,1,0,1,1,0,0,0,1,0,1,6,2,0,0,0,0
303,54,1,35,3,0,1,0,1,1,2,1,0,0,0,3,12,6,0,0,0,1
374,24,4,6,3,0,3,0,3,0.6666666667,1,0,0,1,210,0,0,0,0,0,2,1
102,9,0,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
2282,150,2,306,26,0.9676179687,4,0,4,0.5384615385,5,3,0,1,1,4,20,6,0,0,2,4
88,5,0,8,4,1,1,0,1,1,0,0,0,1,0,3,16,4,0,0,2,0
209,36,3,14,7,0.9821410328,2,0,2,0.8571428571,2,0,0,1,0,3,23,6,0,0,2,0
727,79,2,16,8,1,1,0,1,1,0,0,0,1,0,2,20,4,0,0,2,0
1828,127,0,112,15,0.9937817529,3,0,3,0.9333333333,2,0,0,1,0,3,39,6,0,0,2,0
431,75,0,12,6,1,1,0,1,1,0,0,0,1,0,2,15,4,0,0,2,0
9,1,0,4,2,0,1,0,1,1,1,0,0,1,8,2,4,2,0,0,2,0
9,1,0,4,2,0,1,0,1,1,1,0,0,1,8,2,4,2,0,0,2,1
679,50,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
382,24,7,34,17,0.9894640644,3,0,3,0.8235294118,2,0,0,1,0,3,47,6,0,0,2,0
45,7,1,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
3,1,0,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
83,10,1,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
507,80,0,6,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,0,0,0
301,33,1,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
69,11,0,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
10150,386,0,30,4,0.2555404855,3,2,1,0,0,2,0,0,0,3,8,2,0,0,0,1
2819,246,0,5952,53,0.9432699565,2,1,1,0.9811320755,1,4,0,1,1,8,299,6,0,0,0,2
328,20,7,23,2,0,3,0,3,0.5,0,0,0,1,0,0,0,0,0,0,2,2
229,38,2,470,5,0.9709505945,2,0,2,0.8,0,1,0,1,0,3,26,6,0,0,2,0
1535,111,1,786,33,0.9704954515,4,2,2,0.8484848485,2,2,0,1,1,7,143,7,0,0,1,0
607,17,0,80,40,1,3,0,3,0.5,1,0,0,1,0,3,39,4,0,0,2,0
389,14,0,40,14,0.9757546965,2,0,2,0.6428571429,1,1,0,1,1,2,28,3,0,0,0,3
397,43,0,26,11,0.9732146334,2,0,2,0.6363636364,1,1,0,1,1,2,22,3,0,0,0,2
510,17,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
212,26,0,22,7,0.9629610648,2,0,2,0.7142857143,1,1,0,1,1,2,14,3,0,0,0,0
1211,40,0,56,19,0.979519336,3,0,3,0.7894736842,1,2,0,1,1,3,38,3,0,0,0,2
12,1,0,2,1,0,1,0,1,1,1,0,0,1,1,1,4,2,0,0,0,0
159,19,0,16,2,0.6309297536,2,0,2,1,0,0,0,1,0,2,33,4,0,0,0,0
0,0,0,40,1,0,2,0,2,1,0,0,0,1,0,1,6,3,0,0,0,0
0,0,0,22,1,0,2,0,2,1,0,0,0,1,0,1,3,3,0,0,0,0
1942,48,10,74,28,0.9803598969,3,0,3,1,2,0,0,1,16,2,74,3,0,0,0,0
649,121,0,2,1,0,2,0,2,1,0,0,0,0,0,1,3,3,0,0,0,0
360,33,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
11675,78,0,12,5,0.5132964061,3,0,3,0.8,0,0,0,0,0,1,12,3,0,0,0,0
6570,146,0,66,33,0.9132502106,2,0,2,1,0,0,0,1,0,1,99,3,0,0,0,0
1206,97,0,8,4,0.5578858913,2,0,2,1,0,0,0,0,0,1,12,3,0,0,0,0
5876,149,0,6,3,0.2560593577,2,0,2,1,0,0,0,0,0,1,9,3,0,0,0,0
107,8,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1682,124,0,18,9,0.7924812504,2,0,2,1,0,0,0,1,0,1,27,3,0,0,0,0
73,7,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
12,1,0,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
24,4,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2462,64,0,16,8,0.6113851413,2,0,2,1,0,0,0,0,0,1,24,3,0,0,0,0
168,13,0,2,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,0,0,0
80,9,1,147,1,0,1,0,1,1,1,0,0,1,2,1,8,2,0,0,2,0
7,1,0,2,1,0,1,0,1,1,0,0,0,1,0,1,9,3,0,0,0,0
190,26,0,6,3,1,1,0,1,1,0,0,0,1,0,1,9,3,0,0,0,0
78,12,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
1887,90,6,93,6,1,3,0,3,0.5,2,1,0,1,0.5,3,7,5,0,0,4,2
238,25,0,4,2,1,1,0,1,1,0,0,0,1,0,1,3,3,0,0,0,2
20,1,0,4,2,0,2,0,2,1,1,0,0,1,1,2,5,3,0,0,2,0
214,31,2,12,6,1,3,0,3,0.6666666667,1,1,0,1,1,3,16,4,0,0,4,0
8,2,0,2,1,0,1,0,1,1,0,0,0,1,0,1,3,3,0,0,0,0
0,0,0,164,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,0,0,0
0,0,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
0,0,0,8,3,0,3,0,3,0.6666666667,2,0,0,1,5,3,7,4,0,0,2,0
0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,3,11,4,0,0,0,0
0,0,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
1,0,0,4,2,0,2,0,2,1,1,0,0,1,2,5,19,8,0,0,2,0
4510,220,19,4532,40,0.9869463679,1,0,1,1,2,0,0,1,7,1,492,5,0,0,2,0
525,69,0,28,14,1,1,0,1,1,0,0,0,1,0,2,10,3,0,0,2,0
9648,535,6,228,114,1,2,1,1,1,1,0,0,1,0,81,973,16,0,0,2,0
678,43,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
122,30,1,8,4,1,1,0,1,1,0,0,0,1,0,1,3,3,0,0,2,0
85,7,2,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1054,146,1,20,10,1,1,0,1,1,0,0,0,1,0,2,15,3,0,0,2,0
5576,542,8,672,88,0.8242726216,6,2,4,0.5681818182,8,13,5,1,0,34,565,18,0,0,2,0
1772,134,1,56,28,1,1,0,1,1,0,0,0,1,0,2,25,3,0,0,2,0
99,7,5,56,3,0,3,0,3,0.3333333333,1,0,0,1,2,0,0,0,0,0,0,1
502,69,0,28,14,1,2,0,2,1,1,0,0,1,0,2,10,3,0,0,2,0
3386,107,1,164,82,1,1,0,1,1,0,0,0,1,0,2,75,3,0,0,2,0
1540,158,3,89,19,0.9954699281,2,0,2,0.9473684211,0,0,0,1,0,3,38,5,0,0,2,1
296,52,3,559,9,0.7642045065,6,0,6,0.4444444444,2,1,0,1,4,8,32,11,0,0,18,3
181,21,0,149,6,1,2,0,2,0.6666666667,2,2,0,1,1,3,17,4,0,0,2,0
111,8,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1350,15,3,25,2,0,3,0,3,0.5,2,0,0,1,1,1,2,2,0,0,0,0
204,36,2,12,2,0,3,0,3,0.5,2,0,0,1,1,1,2,2,0,0,0,0
