defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,2414,0.1864125932,3971,0,1,0,1,1,1,0,0,0,0,0
0,162,0.1666666672,24,0,2,0,2,0.5,0.9859705607,0,0,0,0,0
0,104,0.0769230778,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,14,0,1,0,1,1,0,0,0,0,0,0
0,2169,0,18,0,1,0,1,1,1,0,0,0,0,0
0,469,0,6,0,1,0,1,1,1,0,0,0,0,0
0,1989,0,7418,0,1,0,1,1,1,0,0,0,0,0
0,2085,0,9237,0,1,0,1,1,1,0,0,0,0,0
0,2224,0,11296,0,1,0,1,1,1,0,0,0,0,0
0,2837,0,15172,0,1,0,1,1,1,0,0,0,0,0
0,2919,0,15451,0,1,0,1,1,1,0,0,0,0,0
0,611,0.2389525369,860,0,3,0,3,0.3333333333,1,1,0,0,7982.3,0.1666666667
0,6805,0.2242468773,10971,0,2,0,2,0.5,1,0,0,0,0,0
0,403,0.1116625312,539,0,1,0,1,1,1,0,0,0,0,0
0,390,0.1871794874,743,0,2,0,2,0.5,1,0,0,0,0,0
0,3573,0.1393786734,5752,0,2,0,2,0.5,1,0,0,0,0,0
0,878,0.0911161732,2184,0,1,0,1,1,1,0,0,0,0,0
0,16991,0.1853922665,47396,0,2,0,2,0.8,1,0,0,0,0,0
0,836,0.0023923446,3093,0,4,0,4,0.5714285714,1,0,0,0,0,0
0,7942,0.2708385797,11139,0,1,0,1,1,1,0,0,0,0,0
0,147,0.1292517013,419,0,1,0,1,1,1,0,0,0,0,0
0,2,0,933,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,17,0,535,0,2,0,2,0.6666666667,1,0,0,0,0,0
0,1976,0.0045546559,18300,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,44,0.0227272749,2544,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1627,0.0012292564,9297,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,287,0.0627177704,1358,0,1,0,1,1,1,0,0,0,0,0
0,6108,0.1571709234,14511,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,10367,0.1662004437,20911,0,3,0,3,0.3333333333,0.9974357715,0,1,1,0.4300976801,7.63125763125763E-05
0,2430,0.1567901235,3908,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,8,0,1020,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,2112,0.1690340909,5583,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,5192,0.1540832049,9678,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1299,0.1354888376,2668,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,5243,0.2399389663,10115,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1389,0.1821454284,4102,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,318,0.169811321,1026,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,2485,0.401609658,4893,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1443,0.155925156,2623,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,2575,0.1770873787,4277,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,3370,0.1635014837,6007,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,2773,0.155427335,5263,0,1,0,1,1,1,0,0,0,0,0
0,4468,0.0141002686,10792,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1854,0.1618122978,4385,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,5320,0.1706766917,11732,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1234,0.1482982172,2990,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,7025,0.1632740214,16216,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,2960,0.1472972973,5360,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,1393,0.1392677675,2464,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,878,0.1195899773,1359,0,2,0,2,0.5,1,0,1,1,0.4300976801,7.63125763125763E-05
0,4529,0.1830426143,6184,0,1,0,1,1,1,0,0,0,0,0
0,5527,0.1955853085,15234,0,2,0,2,0.5,1,0,0,1,3568.4,0.05
0,102,0.1960784322,577,0,1,0,1,1,1,0,0,0,0,0
0,7631,0.2345695191,15881,0,1,0,1,1,1,0,0,0,0,0
0,52,0.2884615398,859,0,1,0,1,1,1,0,0,0,0,0
0,104257,0.3003731164,277218,0,2,0,2,0.75,0.9935890241,0,0,0,0,0
0,11835,0.1750739333,23988,0,1,0,1,1,1,0,0,0,0,0
0,8465,0.0750147667,15981,0,2,0,2,0.5,1,0,0,0,0,0
0,30341,0.2574074684,210660,0,1,0,1,1,1,0,0,0,0,0
0,3291,0,15159,0,1,0,1,1,1,0,0,0,0,0
0,2276,0.0650263621,6787,0,3,0,3,0.6666666667,0.9857651734,0,0,0,0,0
7,2336,0.3642979452,14104,3,2,0,2,0.8571428571,1,0,0,0,0,0
14,1430,0,17940,3,2,0,2,0.9,0.9950711837,0,0,0,0,0
14,5264,0.2471504559,29104,3,2,0,2,0.9090909091,0.9954931368,0,0,0,0,0
1,8,0.2500000094,212,0,2,0,2,0.75,1,0,0,0,0,0
19,26162,0.1148612491,157810,9,2,0,2,0.9375,0.993468154,0,0,0,0,0
12,8098,0.3164979007,52952,0,2,0,2,0.8571428571,0.9922644817,0,0,0,0,0
0,126,0,354,0,2,0,2,0.5,0.9690222557,0,0,0,0,0
0,987,0.2492401217,2704,0,1,0,1,1,1,0,0,0,0,0
0,1266,0.3491311217,1826,0,1,0,1,1,1,0,0,0,0,0
0,204,0,2190,0,1,0,1,1,1,0,0,0,0,0
0,15190,0.1184331797,22467,0,2,0,2,0.5,0.9971696007,0,0,1,24169.25,0.5
0,40,0,3612,0,1,0,1,1,1,0,0,0,0,0
0,40,0,3229,0,1,0,1,1,1,0,0,0,0,0
0,13661,0.1603103726,34421,0,1,0,1,1,1,0,0,0,0,0
0,44847,0.2299819386,116564,0,2,0,2,0.5,0.9942327254,0,1,1,8.175,0.025
0,18693,0.2116300219,33419,0,2,0,2,0.5,1,0,0,1,3568.4,0.05
0,4178,0.2355193873,10278,0,1,0,1,1,1,0,0,0,0,0
0,1737,0.479562464,4216,1,4,0,4,0.4,0.9971429629,0,0,2,50200.4166666667,0.375
0,3420,0.5611111111,11146,7,12,6,6,0.3666666667,0.9232599203,1,1,5,275.5,0.05
0,7682,0.4821661026,23664,3,15,10,5,0.3720930233,0.9754901617,1,1,6,4629.1323529412,0.0317460317
6,25719,0.1767564835,16300,7,8,6,2,0.7924528302,0.9552706174,3,4,9,474.4821428571,0.0158730159
0,1234,0.2017828202,3268,1,4,0,4,0.8,0.9894998601,0,0,2,3996.3125,0.1458333333
0,659,0.0971168438,1437,0,2,0,2,0.75,0.9526696248,0,0,0,0,0
2,735,0.0775510205,1797,1,5,0,5,0.6666666667,1,0,0,3,274.1864253394,0.0678733032
0,281,0,291,0,3,0,3,0.5,0.967730883,0,1,1,290.0086095764,0.0502302026
0,1669,0,16,1,1,0,1,1,1,0,0,0,6359.6808510638,0.0212765957
0,828,0,8,1,1,0,1,1,1,0,0,0,6359.6808510638,0.0212765957
2,384,0,19,1,2,0,2,0.6,1,1,0,1,17781.3404255319,0.2606382979
1,1320,0,16,1,1,0,1,1,1,0,0,0,6359.6808510638,0.0212765957
1,1331,0,38,1,2,0,2,0.6666666667,1,1,0,0,6359.6808510638,0.0212765957
0,1477,0,8,1,1,0,1,1,1,0,0,0,6359.6808510638,0.0212765957
0,33,0.2121212145,28,0,1,0,1,1,0,0,0,0,0,0
