defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,1856,0.1514008621,391,5,4,0,4,0.4,0.9795068083,0,2,3,262.9006527139,0.0247169811
0,337,0.278931751,33,1,2,0,2,0.8,1,1,1,1,5290.425170068,0.0204081633
0,34,0.2058823553,1,0,1,0,1,1,1,0,1,1,4.0419303797,0.0007911392
0,1554,0.2503217504,372,1,6,0,6,0.4,0.9912603441,1,1,4,257.9259259259,0.0357142857
0,54,0.1851851867,3,0,2,0,2,0.5,1,2,2,2,2.8054479485,0.0090162593
0,65,0.1384615398,5,0,3,0,3,0.3333333333,1,2,3,2,4.0419303797,0.010989011
2,190,0.3842105266,0,0,0,0,0,0,0,0,0,0,0,0
0,488,0.1639344264,852,1,2,0,2,0.5,1,0,0,0,181.2946899279,0.1255896226
0,200,0.3750000003,9,0,2,0,2,0.5,1,1,2,2,2.8054479485,0.0090162593
0,1455,0.0185567011,5,0,2,0,2,0.5,1,2,2,2,2.8054479485,0.0090162593
0,57,0.1578947383,3,0,2,0,2,0.5,1,1,2,1,9.7852009541,0.0058900751
0,104,0.0865384624,0,0,0,0,0,0,0,0,0,0,0,0
0,1138,0.2706502637,36,1,4,0,4,0.3333333333,0.9843381289,1,3,2,120.5678071928,0.0141151951
0,327,0.2140672785,4,0,2,0,2,0.5,1,1,2,1,9.7852009541,0.0058900751
0,60,0.3000000012,4,0,2,0,2,0.5,1,1,2,2,2.8054479485,0.0090162593
0,52,0.1923076939,3,0,2,0,2,0.5,1,1,2,2,2.8054479485,0.0090162593
0,2430,1.0094650206,17,2,4,0,4,0.4,1,1,2,2,114.8245366184,0.0800492611
0,345,0.2695652176,6,0,2,0,2,0.6666666667,1,2,2,2,2.8054479485,0.0090162593
0,67,0.2089552251,2,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
0,54,0.1666666682,2,0,2,0,2,0.5,1,2,1,1,16959.2209651899,0.5003955696
0,214,0.08411215,5,0,2,0,2,0.6666666667,0.9732146334,0,2,2,15.5284715285,0.010989011
0,57,0.2456140364,4,0,2,0,2,0.5,1,2,2,2,2.8054479485,0.0090162593
0,82,0.3048780496,1,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
0,342,0.0263157898,13,0,2,0,2,0.5,1,1,2,2,2.8054479485,0.0090162593
0,146,0.3287671237,5,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
0,68,0.1911764718,3,0,2,0,2,0.5,1,2,2,2,2.8054479485,0.0090162593
2,101,0.1683168325,13,0,3,0,3,0.3333333333,0.9838965619,1,2,2,4.0419303797,0.0172413793
0,213,0.225352113,6,0,1,0,1,1,1,0,1,1,4.0419303797,0.0007911392
0,66,0.1363636377,3,1,2,0,2,0.5,1,1,1,1,1215.0120366184,0.0628955696
0,52,0.1730769247,3,1,2,0,2,0.5,1,1,1,1,1215.0120366184,0.0628955696
0,50,0.1800000016,2,1,1,0,1,1,0,0,0,0,2425.9821428571,0.125
0,73,0.1506849327,4,0,2,0,2,0.6666666667,1,2,2,2,2.8054479485,0.0090162593
0,475,0.2273684212,1496,0,3,0,3,0.6,1,1,1,1,161.8108354773,0.0108122363
0,5818,0.2409762805,478,4,10,0,10,0.2352941176,0.9787111075,1,4,4,100.7047063723,0.010989011
0,87,0.2528735641,4,0,2,0,2,0.5,1,0,1,1,4.0419303797,0.0007911392
0,3935,0.1552731893,1033,0,5,0,5,0.25,0.9947507971,1,2,2,72.8023531862,0.0097680098
0,3642,0.2270730368,0,0,0,0,0,0,0,0,0,0,0,0
0,234,0.1965811969,6,0,2,0,2,0.5,1,0,1,1,4.0419303797,0.0007911392
0,1443,0.2751212752,13,0,2,0,2,0.5,0.9867805317,1,2,2,15.5284715285,0.010989011
0,1509,0.3598409543,28,0,3,0,3,0.3333333333,1,0,1,1,4.0419303797,0.0007911392
0,1066,0.2354596624,2251,1,9,6,3,0.4615384615,0.9860409472,2,2,5,164.6111111111,0.0454545455
0,158,0.1392405069,2,0,1,0,1,1,1,2,1,1,335.9121216525,0.0242050934
0,5552,0.2076729107,1198,0,7,0,7,0.3,0.9852036088,2,1,2,777.9856410867,0.0582582583
0,3287,0.2625494372,1277,2,9,4,5,0.2380952381,0.9774459045,4,2,2,150.3135037879,0.0118492618
0,725,0.2648275863,222,0,3,0,3,0.5,1,1,1,2,127.1145833333,0.0053191489
0,99,0.1616161625,231,1,3,0,3,0.3333333333,1,0,1,1,104.534604471,0.0034443501
0,321,0.1370716514,877,1,3,0,3,0.3333333333,1,0,1,1,104.534604471,0.0034443501
1,2144,0.1576492538,4288,0,11,6,5,0.5294117647,0.979575978,7,1,6,270.4767157874,0.024702381
1,743,0.2018842531,8,0,2,0,2,0.5,1,0,1,1,130.9839281528,0.0079713272
2,411,0.3430656936,1007,1,5,0,5,0.5882352941,0.9792205303,3,0,4,441.5228549696,0.0208333333
0,340,0.0470588238,10,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
0,475,0.2189473686,37,1,4,0,4,0.4,1,1,2,2,21.6772727273,0.0090909091
0,539,0.2411873842,47,1,3,0,3,0.5,1,1,1,1,1993.3619047619,0.0476190476
0,215,0.3255813957,22,0,3,0,3,0.5,1,2,1,2,145.8779445397,0.0092624357
0,309,0.2265372171,3,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
3,376,0.3164893619,323,0,4,0,4,0.25,1,1,1,2,140.8249782167,0.0061428986
0,3205,0.2299531982,220,2,5,0,5,0.4545454545,0.9776865372,3,3,5,100.7047063723,0.0094339623
0,3003,0.1694971695,3379,0,5,0,5,0.5333333333,0.9825624696,1,3,4,410.053197065,0.0147756687
0,587,0.1362862012,475,0,4,0,4,0.25,1,0,2,1,7.298264448,0.0007911392
0,261,0.3065134102,3,0,1,0,1,1,1,0,1,1,4.0419303797,0.0007911392
0,321,0.3520249223,20,0,2,0,2,0.5,1,0,1,2,2631.2654096343,0.033728903
0,154,0.2467532472,38,0,1,0,1,1,0.9857748247,1,2,1,16.7351576994,0.0007911392
0,619,0.2536348951,5,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
2,973,0.3011305242,47,0,4,0,4,0.3333333333,0.9875415018,2,1,2,100.7047063723,0.0090909091
0,899,0.0711902114,8,0,1,0,1,1,0,0,0,0,0,0
0,7942,0.2708385797,0,0,0,0,0,0,0,0,0,0,0,0
0,997,0.1845536611,0,0,0,0,0,0,0,0,0,0,0,0
0,22198,0.2661050545,0,0,0,0,0,0,0,0,0,0,0,0
0,3446,0.2356355195,0,0,0,0,0,0,0,0,0,0,0,0
0,1160,0.100862069,0,0,0,0,0,0,0,0,0,0,0,0
0,2107,0.1120075938,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2462,0.1884646629,4,1,2,0,2,0.5,1,0,0,1,5154.6296296296,0.2575757576
0,7784,0.1569886948,0,0,0,0,0,0,0,0,0,0,0,0
0,304,0.1809210529,0,0,0,0,0,0,0,0,0,0,0,0
0,495,0.0060606063,0,0,0,0,0,0,0,0,0,0,0,0
