size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
2887,0.1428571429,204,2683,104,0.9291331966,12,6,6,0.2,0,8,9,0.0126395534,0,10,52,21,1,0,1,2
2080,0.15094337,52,40,12,0.9182958341,1,0,1,1,0,2,3,0.03125,0,0,1,1,0,0,1.5,0
58,0.1136363636,16,18,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
2054,0.1376336979,59,6878,144,0.7502420361,8,3,5,0.4285714286,0,7,17,0.0014942269,0,22,116,11,1,3,2,1
1232,0.1,77,4854,87,0.8038662571,5,3,2,0.4583333333,0,4,9,0.0118644068,0,29,135,11,2,2,2,1
35,0.1714285714,5,2,1,0,1,0,1,1,0,0,0,5,0,0,3,2,2,0,1,0
2125,0.0864661654,100,78,13,0.9629470156,3,0,3,0.5,0,2,2,0,0,0,3,4,1,0,1,0
9466,0.1592356688,315,23779,619,0.8750029328,43,38,5,0.1781609195,0,40,107,0.0101010101,0,55,282,100,2,5,2,1
269,0.1153846154,4,1854,18,0.9182958341,5,0,5,0.3636363636,0,6,11,0,0,5,9,5,1,0,2,0
1300,0.0856227106,36,3561,160,0.8460689084,17,10,7,0.1555555556,1,16,29,0.0019314354,0,4,99,21,2,0,2,2
332,0.0274193548,6,39,8,1,3,0,3,0.4,0,3,5,0,0,0,0,5,0,0,2.5,0
133,0,6,532,64,0.7340869479,5,0,5,0.5384615385,1,4,9,0.0130057803,25.1150770713,0,32,8,2,0,5,0
284,0.1171171171,5,8670,106,0.9832616887,5,0,5,0.25,0,1,8,0.0010683761,0,15,49,6,2,0,6,0
111,0,12,124,27,0.9173601645,6,0,6,0.2727272727,0,8,10,0,0,0,6,19,0,0,2,0
1764,0.1634271497,16,1572,72,0.8943823197,8,2,6,0.2173913043,0,3,11,0.0099173825,0,13,52,8,1,0,1.5,1
795,0,33,789,66,0.8878199253,10,2,8,0.2173913043,0,9,20,0.0469364351,0,3,30,11,2,1,2,0
104,0.109375,0,454,12,0.9182958341,3,0,3,0.5,0,2,2,0.0024193548,0,1,5,5,2,0,2,0
1126,0.1939099335,17,1987,43,0.8909038407,5,0,5,0.4545454545,0,5,11,0.0103088584,0,5,23,3,3,1,4.5,0
821,0.0406504065,39,1266,71,0.8240071768,13,8,5,0.2,1,9,16,0.0322580645,0,3,34,13,1,1,2,0
779,0.1118847539,24,1838,129,0.8840213206,12,7,5,0.3541666667,0,17,39,0.0168335919,0,2,64,12,2,0,4.5,0
325,0.1826923077,8,1300,75,0.967218495,4,0,4,0.4285714286,0,3,6,0.0253807107,0,1,10,4,2,0,3,0
88,0,2,329,12,0,3,0,3,0.5,0,3,2,0.009118541,0,1,5,3,2,0,4,1
524,0.2461814915,3,48,8,1,2,0,2,0.5,0,2,4,0,0,0,0,0,0,0,2,1
42,0.3333333333,4,7,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2064,0.1707317073,39,5108,235,0.8924782347,21,16,5,0.3908045977,0,22,70,0.0235294118,0,22,164,25,2,4,3,3
720,0.1666666667,9,17648,164,0.8046459009,7,4,3,0.724137931,0,6,8,0.0010210333,0,24,90,8,2,0,3,0
349,0.3954154728,4,51,5,0,3,0,3,0.3333333333,0,2,2,0.0196078431,0,0,0,0,0,0,3,0
2494,0.1333333333,69,6632,214,0.8427912917,20,12,8,0.1666666667,0,20,64,0.0008111616,0,8,135,25,1,0,2,0
91,0.2967032967,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
16,0,0,148,3,0,2,0,2,0.5,0,0,2,0.0067567568,0,0,2,3,1,0,2,0
128,0.1640625,0,724,11,0,4,0,4,0.5,0,2,3,0.0013812155,0,0,12,5,2,1,7,0
2023,0.1984536082,44,4618,182,0.9306277982,10,6,4,0.3103448276,0,6,20,0.0066225166,0,3,73,13,1,0,3,0
28,0,3,116,21,0.9454604968,4,0,4,0.4,0,3,9,0,0,0,4,2,0,0,2,0
33,0,3,23,7,0.985228136,4,0,4,0.25,0,4,3,0,0,0,1,1,0,0,2,0
1086,0.0903532609,5,11016,310,0.9491489873,3,1,2,0.9275362319,0,6,17,0.0034785987,0,26,167,9,2,0,2,4
747,0.1558704453,50,1461,46,0.9889225588,7,0,7,0.2,0,4,11,0.034956544,0,12,32,8,1,0,1,0
727,0.1272727273,11,334,29,0.8912922707,4,0,4,0.5,1,1,2,0.0138888889,0.10997151,0,17,7,1,0,1,0
97,0.3298969072,1,100,12,0,3,0,3,0.3333333333,0,1,2,0.015,0,0,3,6,1,1,4,0
129,0.1084337349,3,622,71,0.9998568992,7,0,7,0.2692307692,0,8,16,0.005512816,0,7,32,8,1,7,17.5,2
1515,0.1054274319,45,7628,218,0.9138548307,19,12,7,0.2567567568,1,13,41,0.0120481928,0,13,165,18,2,5,2,6
